LSOA,population_per_hectare
E01008444,29.4
E01008445,46.3
E01008446,46.0
E01008447,41.0
E01008448,21.1
E01008547,34.7
E01008548,14.7
E01008549,5.9
E01008551,6.6
E01008478,6.8
E01008480,49.3
E01008504,16.0
E01008578,23.3
E01008583,20.5
E01008520,45.2
E01008523,54.6
E01008546,33.9
E01008550,79.4
E01008577,3.2
E01008579,27.6
E01008580,53.0
E01008581,23.4
E01008582,8.5
E01008517,39.3
E01008519,58.5
E01008521,52.9
E01008522,69.2
E01008584,63.6
E01008585,53.4
E01008587,69.8
E01008588,90.3
E01008589,38.3
E01008518,51.5
E01008564,14.5
E01008565,3.6
E01008567,22.4
E01008475,56.4
E01008476,18.7
E01008477,21.6
E01008479,33.2
E01008552,6.7
E01008553,72.2
E01008554,61.8
E01008555,43.2
E01008586,65.0
E01008495,63.6
E01008496,55.5
E01008497,55.9
E01008498,33.8
E01008568,35.6
E01008569,27.1
E01008570,21.9
E01032647,23.4
E01032648,41.9
E01008500,28.4
E01008505,23.1
E01008506,68.0
E01008507,15.2
E01008493,43.0
E01008494,47.2
E01008556,22.0
E01008557,40.9
E01008470,53.0
E01008499,56.3
E01008502,60.1
E01008516,17.6
E01008488,9.4
E01008489,65.5
E01008490,47.8
E01008491,14.9
E01008558,26.1
E01008560,41.7
E01008561,33.7
E01008562,36.7
E01008525,38.9
E01008527,73.4
E01008559,52.9
E01008563,20.6
E01008469,16.3
E01008472,41.9
E01008473,34.4
E01008501,10.1
E01008503,8.7
E01008471,31.5
E01008474,47.4
E01008513,35.7
E01008514,14.3
E01032649,60.4
E01032650,46.7
E01008486,54.8
E01008487,31.3
E01008526,24.8
E01008530,63.8
E01008461,55.8
E01008466,18.5
E01008467,50.1
E01008468,37.0
E01008483,103.3
E01008524,37.9
E01008528,83.4
E01008529,87.3
E01008481,10.6
E01008482,69.2
E01008484,67.2
E01008485,59.4
E01008492,70.7
E01008462,45.4
E01008463,55.7
E01008464,38.8
E01008465,54.7
E01008531,20.6
E01008532,19.0
E01008534,43.1
E01008538,23.0
E01008508,53.1
E01008509,52.2
E01008510,59.9
E01008512,45.3
E01008539,9.9
E01008540,13.6
E01008541,27.9
E01008544,82.3
E01008545,32.6
E01008511,73.4
E01008542,27.2
E01008543,28.8
E01008571,19.3
E01008572,22.7
E01008573,97.9
E01008574,26.8
E01008576,32.1
E01008533,45.8
E01008535,14.6
E01008536,64.1
E01008537,110.0
E01008575,25.8
E01008595,72.0
E01008596,62.3
E01008597,25.1
E01008598,57.3
E01008599,47.3
E01008664,88.4
E01008665,59.9
E01008666,41.1
E01008667,14.6
E01008668,72.7
E01008673,68.0
E01008675,136.3
E01008676,95.6
E01008677,54.2
E01008678,77.5
E01008647,53.8
E01008648,23.4
E01008649,14.6
E01008651,67.2
E01008679,25.3
E01008680,47.7
E01008682,45.0
E01008683,106.7
E01008635,44.9
E01008650,72.2
E01008674,32.6
E01008681,37.6
E01008600,12.7
E01008604,9.9
E01008660,51.2
E01008661,38.4
E01008633,58.0
E01008634,68.9
E01008636,67.1
E01008637,67.4
E01008639,26.7
E01008652,41.6
E01008653,59.6
E01008654,88.0
E01008655,42.2
E01008657,52.4
E01008638,29.2
E01008640,34.1
E01008641,76.7
E01008642,18.3
E01008590,58.7
E01008591,91.6
E01008592,63.1
E01008594,42.6
E01008601,18.8
E01008669,45.3
E01008671,14.6
E01008672,18.1
E01008622,31.4
E01008625,52.2
E01033074,52.0
E01008602,46.2
E01008603,35.2
E01008608,70.4
E01008670,49.1
E01008643,29.4
E01008644,55.3
E01008645,15.7
E01008646,20.3
E01008656,25.3
E01008658,45.7
E01008593,52.2
E01008605,47.7
E01008606,29.0
E01008607,56.0
E01008609,56.1
E01008631,33.7
E01008632,37.9
E01008659,47.7
E01008662,25.6
E01008663,18.3
E01008624,45.9
E01008684,43.5
E01008685,6.0
E01008686,9.5
E01008687,15.5
E01008688,19.5
E01008689,62.8
E01008690,81.9
E01008691,20.9
E01008692,64.8
E01008627,58.8
E01008628,47.1
E01008629,2.0
E01008630,33.1
E01008610,25.3
E01008611,42.4
E01008612,20.9
E01008613,33.0
E01008616,9.6
E01008618,16.8
E01008619,4.3
E01008621,40.5
E01008614,18.7
E01008615,4.8
E01008617,4.4
E01008620,10.6
E01008713,14.3
E01008722,62.0
E01008724,73.3
E01008726,38.2
E01008723,21.2
E01008725,51.2
E01008727,96.7
E01008728,87.7
E01008792,35.3
E01008698,59.3
E01008837,41.9
E01008838,75.6
E01008839,23.0
E01008840,54.3
E01008841,42.3
E01008712,18.0
E01008817,48.8
E01008819,45.6
E01008821,24.6
E01008822,56.8
E01008842,54.5
E01008708,50.7
E01008709,71.5
E01008711,30.9
E01008820,13.5
E01033075,34.0
E01008786,67.4
E01008787,65.4
E01008788,80.1
E01008789,40.1
E01008790,68.2
E01008791,30.6
E01008855,1.7
E01008856,30.5
E01008876,7.0
E01008877,12.6
E01008693,13.4
E01008694,59.1
E01008695,17.3
E01008696,33.2
E01008697,44.6
E01008699,59.3
E01008853,19.3
E01008854,63.6
E01008857,64.1
E01008858,56.7
E01008859,26.1
E01008860,35.3
E01008878,64.8
E01008873,7.2
E01008874,58.9
E01008875,26.3
E01008879,32.0
E01008880,48.0
E01008701,86.8
E01008704,47.0
E01008706,79.8
E01008707,123.8
E01008756,57.8
E01008762,19.5
E01008812,72.9
E01033076,37.3
E01008700,11.7
E01008703,35.4
E01008705,57.1
E01008831,66.3
E01008834,61.1
E01008810,31.4
E01008811,36.7
E01008813,47.9
E01008814,16.4
E01008757,81.3
E01008758,33.2
E01008759,56.3
E01008761,37.1
E01008702,11.1
