CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
20706,55.99547084999999,-3.9367259770000005,0.0,284.4,54412.2,438.2,13886.0,8497.0
20709,55.851996480000004,-2.161296531,0.0,56.4,4938.4,69.8,1246.6,1562.2
20710,55.99055452,-2.577042124,0.0,12.2,2378.2,14.2,322.0,277.6
20714,55.81306804,-2.990891435,2.2,24.0,3482.2,53.6,1089.8,237.2
20716,55.45068697000001,-2.777829244,4.6,74.8,5489.4,95.2,1272.8,324.4
20717,55.28470102,-2.945643545,0.0,23.4,1096.8,38.8,440.8,460.6
20718,55.05357915,-2.96088156,1.6,51.4,2828.2,46.6,905.2,471.8
20721,58.324939640000004,-3.196795788,3.4,4.0,1346.8,61.6,469.0,137.2
20724,57.709032109999995,-4.183477248,5.4,62.0,8146.4,76.8,1983.8,795.0
20726,57.38586256,-4.081029791000001,0.2,109.2,7539.2,138.4,1564.2,1130.0
20727,57.11535159,-3.950217693,1.0,50.0,5729.4,80.0,1272.6,1145.0
20728,56.699143976,-3.7481746326000005,6.4,70.2,6773.6,114.8,1329.2,1021.6
20730,56.25892004,-3.777267264,0.0,143.4,15503.2,488.2,3636.8,3480.4
20732,55.89594419,-3.072960616,12.0,111.8,9362.8,397.4,2317.8,653.8
20732,55.89594419,-3.072960616,12.0,111.8,9362.8,397.4,2317.8,653.8
20735,55.60809398,-2.675382871,4.0,89.4,7950.0,124.4,1494.4,573.6
20737,55.88658165,-3.974470759,15.8,77.2,13137.8,127.4,2675.4,952.2
20739,55.69319628000001,-3.810373509,7.2,11.2,7094.4,174.6,1364.0,526.4
20740,55.57164241,-3.6350621779999996,3.0,29.0,1258.6,25.2,341.2,255.4
20749,54.91810456,-4.65297776,1.0,41.8,2449.8,85.6,836.8,627.0
20750,54.90365378,-5.011949766,53.2,20.0,3730.8,96.0,1405.8,372.2
20751,55.54021609,-4.397698217,4.2,58.8,8248.8,154.6,1573.2,849.2
